Date,Open,High,Low,Close,Volume,Adj
Close
2010-07-20,24.860001,25.48,24.700001,25.48,45530700,21.79108
2010-07-19,24.959999,25.299999,24.91,25.23,38181800,21.577274
2010-07-16,25.51,25.639999,24.879999,24.889999,65064800,21.286498
2010-07-15,25.50,25.59,24.98,25.51,56934700,21.816737
2010-07-14,25.50,25.610001,25.120001,25.440001,72808100,21.756872
2010-07-13,25.139999,25.299999,24.90,25.129999,61928700,21.491752
2010-07-12,24.43,24.889999,24.42,24.83,49854200,21.235186
2010-07-09,24.33,24.41,24.15,24.27,53806100,20.756261
2010-07-08,24.60,24.620001,23.969999,24.41,50758100,20.875992
2010-07-07,23.82,24.32,23.610001,24.299999,79965300,20.781917
2010-07-06,23.700001,24.09,23.58,23.82,73592000,20.37141
2010-07-02,23.360001,23.48,23.049999,23.27,62485100,19.901038
2010-07-01,23.09,23.32,22.73,23.16,92239400,19.806963
2010-06-30,23.299999,23.68,22.950001,23.01,81050500,19.67868
2010-06-29,24.129999,24.200001,23.110001,23.309999,119882100,19.935246
2010-06-28,24.51,24.610001,24.120001,24.309999,73784800,20.790469
2010-06-25,25.049999,25.110001,24.309999,24.530001,156256700,20.978619
2010-06-24,25.459999,25.719999,24.93,25.00,85243400,21.380574
2010-06-23,25.780001,25.780001,25.219999,25.309999,61466200,21.645692
2010-06-22,26.16,26.450001,25.76,25.77,55985400,22.039096
2010-06-21,26.780001,26.889999,25.889999,25.950001,54625300,22.193036
2010-06-18,26.370001,26.530001,26.17,26.440001,52075600,22.612095
2010-06-17,26.559999,26.67,26.040001,26.370001,47995500,22.55223
2010-06-16,26.469999,26.58,26.23,26.32,48698000,22.509468
2010-06-15,25.75,26.65,25.74,26.58,81641500,22.731826
2010-06-14,25.860001,25.959999,25.469999,25.50,50972400,21.808185
2010-06-11,25.040001,25.719999,24.77,25.66,68057700,21.945021
2010-06-10,25.129999,25.15,24.780001,25.00,78930900,21.380574
2010-06-09,25.219999,25.52,24.75,24.790001,87794000,21.200977
2010-06-08,25.25,25.26,24.65,25.110001,87355000,21.474649
2010-06-07,25.82,25.83,25.24,25.290001,80456200,21.628589
2010-06-04,26.10,26.57,25.620001,25.790001,89832200,22.0562
2010-06-03,26.549999,26.93,26.41,26.860001,67837000,22.971289
2010-06-02,26.059999,26.48,25.73,26.459999,65718800,22.629198
2010-06-01,25.530001,26.309999,25.52,25.889999,76152400,22.141721
